Ligase,Input_File,PDB_ID,Selected_Ligand_Source,Selected_Ligand_Output,Ligand_Source_Chain,Ligand_Residue_Number,Ligand_Insertion_Code,Chosen_Protein_Chain_Source,Output_Path,Output_File,Final_Output_Chain
RNF146,/home/jxs794/WebTools/E3_UPDATE_TOOL/RNF146/3V3L.cif,3V3L,V3L,V3L,A,1,,A,/home/jxs794/WebTools/E3_UPDATE_TOOL/RNF146/PDB/3V3L_V3L.pdb,3V3L_V3L.pdb,A
RNF146,/home/jxs794/WebTools/E3_UPDATE_TOOL/RNF146/4QPL.cif,4QPL,V3L,V3L,A,201,,A,/home/jxs794/WebTools/E3_UPDATE_TOOL/RNF146/PDB/4QPL_V3L.pdb,4QPL_V3L.pdb,A
