RECRUITER_CODE,SMILES
L00007,[H]/N=C(\NCCC[C@@H](C(=O)N(Cc1ccccc1)Cc2ccccc2)NC(=O)C[N-][N+]#N)/NC(=O)NC
L00046,C1COCCN1CCCS(=O)(=O)O
L00256,c1cc(ccc1CCC(=O)O)O
L00192,c1ccc2c(c1)C(=O)C=C(O2)C(=O)O
L00086,c1c2c([nH]n1)NC(=S)N=C2N
L00218,C1[C@@H]([C@H](CSS1)O)O
L00024,C(COCCOCCO)O
L00436,Cc1cc(c2cc(ccc2n1)F)O
L00216,c1cc(c(cc1\C=C\C(=O)O)O)O
L00040,CCc1cc(nc(n1)N(C)CC(=O)OCC)CC
L00718,CCc1cc(nc(n1)N(C)CC(=O)OCC)CC
L00623,[H]/N=C(\NCCC[C@@H](C(=O)N(Cc1ccccc1)Cc2ccccc2)NC(=O)C[N-][N+]#N)/NC(=O)NC
L00624,[H]/N=C(\NCCC[C@@H](C(=O)N(Cc1ccccc1)Cc2ccccc2)NC(=O)C[N-][N+]#N)/NC(=O)NC
L00497,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00545,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00546,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00547,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00548,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00549,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00550,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00551,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00625,[H]/N=C(\NCCC[C@@H](C(=O)N(Cc1ccccc1)Cc2ccccc2)NC(=O)C[N-][N+]#N)/NC(=O)NC
L00626,[H]/N=C(\NCCC[C@@H](C(=O)N(Cc1ccccc1)Cc2ccccc2)NC(=O)C[N-][N+]#N)/NC(=O)NC
L00727,C1COCCN1CCCS(=O)(=O)O
L00025,c1cc(ccc1C[C@@H](C(=O)O)N)CP(=O)(O)O
L00697,c1cc(ccc1C[C@@H](C(=O)O)N)CP(=O)(O)O
L00698,c1cc(ccc1C[C@@H](C(=O)O)N)CP(=O)(O)O
L00400,C[C@H]([C@@H](C(=O)O)NC(=O)C)O
L00332,CNCC(=O)NCc1ccc(cc1)CNC(=O)CNC
L00333,CNCC(=O)NCc1cccc(c1)CNC(=O)CNC
L00208,C([C@@H](C(=O)O)N)SCC(=O)O
L00054,CC(C)C[C@@H](CNC(=O)O)N
L00257,C(CCNC(=N)N)C[C@@H](C(=O)O)N
L00552,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00737,CC(C)C[C@@H](CNC(=O)O)N
L00738,CC(C)C[C@@H](CNC(=O)O)N
L00694,C(COCCOCCO)O
L00695,C(COCCOCCO)O
L00248,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O
L00480,C1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O
L00498,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00499,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00500,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00501,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00328,c1ccc(cc1)C(=O)Nc2ccc3c(c2)cccn3
L00502,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00250,CCCn1c2ccccc2nc1NC(=O)CC
L00503,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00504,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00505,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00321,Cc1ccc(cc1O)NC(=O)c2cccc(c2)F
L00506,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00507,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00508,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00509,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00285,c1ccc2c(c1)ncn2c3ccc(cc3)CO
L00203,c1ccc(cc1)c2ccc(cc2)CC(=O)O
L00510,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00511,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00512,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00513,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
