Ligase,pdb_id,Ligand,Variant,RECRUITER_CODE
HUWE1,5Y5C,HXA,2,L00793
PARKIN,2YMV,PGE,2,L00695
MDM2,9GFK,URL,2,L00738
TRIM21,7HN8,A1B,2,L00524
TRIM21,7HLA,A1B,2,L00499
PARKIN,4C3O,NFU,1,L00338
TRIM21,7HLP,A1B,2,L00505
TRIM21,7HMP,ZQA,2,L00808
TRIM21,7HLV,A1B,2,L00508
