SMILES	Count	Recruiters
CCC(C(=O)NC1C(CCC2CCC(N2C1=O)C(=O)NC(c3ccccc3)c4cn(nn4)CCCCc5ccc(cc5)CCCCn6cc(nn6)C(c7ccccc7)NC(=O)C8CCC9N8C(=O)C(C(CC9)CO)NC(=O)C(CC)NC)CO)NC	3	L00096,L00753,L00754
CCC(=O)NC[C@H]1CC[C@H]2C=C[C@H](N2C(=O)[C@H]1NC(=O)[C@H](C)NC)C(=O)NCc3ccccc3	3	L00205,L00785,L00786
C1CO[C@@H]([C@H]1O)COP(=O)(O)O	3	L00020,L00685,L00686
c1csc(n1)NC(=O)CN2CCCC2=O	2	L00507,L00508
c1cn2cnc3c(c2n1)ncn3[C@H]4C[C@@H]([C@H](O4)COP(=O)(O)O)O	2	L00036,L00714
c1ccn(c1)c2ccc(cc2)CO	2	L00037,L00715
c1ccc2c(c1)cc(n3c2ncc3)C4(CC4)c5ccc(cc5)Cl	2	L00446,L00802
c1ccc2c(c1)cc(cn2)CN[C@@H]3[C@H]4CO[C@H](O4)[C@@H]([C@H]3O)N5CCOCC5	2	L00215,L00790
c1ccc(cc1)c2ccc(cc2)C[C@@H](C(=O)O)N	2	L00200,L00782
c1ccc(cc1)CN2CCC(CC2)c3ccc4c(c3)CN(C4=O)[C@H]5CCC(=O)NC5=O	2	L00043,L00724
c1cc2ccc3ccc(c4c3c2c(c1)cc4)Nc5nc6c(n5[C@H]7C[C@@H]([C@H](O7)COP(=O)(O)O)O)N=C(NC6=O)N	2	L00035,L00713
c1cc2c(cc1N3CCOCC3)C(=O)N(C2=O)[C@H]4CCC(=O)NC4=O	2	L00045,L00726
c1cc(ccc1Cn2cnc(c2c3c4ccc(cc4[nH]c3C(=O)OCCCCCCNC(=O)CCC(=O)O)Cl)c5ccc(cc5)F)Cl	2	L00030,L00705
c1cc(ccc1C[C@@H](C(=O)O)N)CP(=O)(O)O	2	L00025,L00697
c1cc(ccc1CNC(=O)CCC(=O)O)COC(=O)NC2CC(=O)NC2=O	2	L00303,L00581
c1cc(ccc1CN)COC(=O)NC2CC(=O)NC2=O	2	L00301,L00578
c1cc(cc(c1)OCC(=O)O)CNC(=O)Nc2nnc(o2)c3ccco3	2	L00038,L00716
c1cc(c(cc1N)F)C(=O)NC2CCC(=O)NC2=O	2	L00462,L00586
c1cc(c(c(c1)N)C(=O)NC2CC(=O)NC2=O)C(=O)O	2	L00294,L00575
c1c(nns1)C(=O)N2CCOCC2	2	L00386,L00801
