Ligase,pdb_id,Ligand,Variant,RECRUITER_CODE
TRIM21,7HMP,ZQA,2,L00808
MDM2,9GFK,URL,2,L00738
TRIM21,7HLV,A1B,2,L00508
PARKIN,2YMV,PGE,2,L00695
TRIM21,7HLA,A1B,2,L00499
TRIM21,7HLP,A1B,2,L00505
PARKIN,4C3O,NFU,1,L00338
HUWE1,5Y5C,HXA,2,L00793
TRIM21,7HN8,A1B,2,L00524
