Ligase,Scaffold_ID,Recruiter_Count,Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,Scaffold_Center_of_Mass_X,Scaffold_Center_of_Mass_Y,Scaffold_Center_of_Mass_Z,Ligase_Scaffold_Connectivity,Total_Recruiters,Recruiter_Density_Score,Shannon_Diversity_Index,Normalized_Diversity
CRBN,CRBN_SCAF_17,1,O=C1CC[C@H](NC(=O)OCC2CCCCC2)C(=O)N1,O=C1CC[C@H](NC(=O)OCC2CCCCC2)C(=O)N1,Bicyclic_Hetero,7.492582053367723e-15,-3.75767792950053e-16,0.0349810493194016,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_18,1,O=C1CCC(=O)N1,O=C1CCC(=O)N1,Monocyclic_Hetero,-2.2435756955966707e-16,1.8503717077085943e-16,-6.938893903907227e-17,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_19,1,O=C(Cc1ccccc1)NCc1ccc2c(c1)CN([C@H]1CCC(=O)NC1=O)C2=O,O=C(Cc1ccccc1)NCc1ccc2c(c1)CN([C@H]1CCC(=O)NC1=O)C2=O,Polycyclic_Hetero,7.756462139241193e-13,6.16839912481737e-14,0.1665000174623627,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_2,1,O=C1CC[C@H](N2Cc3ccccc3C2=O)C(=O)N1,O=C1CC[C@H](N2Cc3ccccc3C2=O)C(=O)N1,Polycyclic_Hetero,-8.289665250534502e-16,-4.624090643087313e-16,-0.1542923832817885,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_20,1,O=C1CC[C@H](N2C(=O)C=C(Nc3cccc(CCC(=O)Nc4ccccc4)c3)C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)C=C(Nc3cccc(CCC(=O)Nc4ccccc4)c3)C2=O)C(=O)N1,Polycyclic_Hetero,1.0173680080201436e-14,0.0103871757938629,1.31258640320456e-15,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_21,1,O=C1CC[C@H](n2nc3ccccc3n2)C(=O)N1,O=C1CC[C@H](n2nc3ccccc3n2)C(=O)N1,Polycyclic_Hetero,4.1448326252672506e-15,-0.0448379083436746,-6.579099405186112e-16,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_22,1,O=C1CC[C@H](n2cnc3ccccc3c2=O)C(=O)N1,O=C1CC[C@H](n2cnc3ccccc3c2=O)C(=O)N1,Polycyclic_Hetero,-2.901382837687076e-15,4.810966440042346e-16,0.0203835371761072,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_23,1,O=C1CC[C@H](c2ccccc2)C(=O)N1,O=C1CC[C@H](c2ccccc2)C(=O)N1,Bicyclic_Hetero,2.851052727237402e-14,1.3722356584366934e-14,-0.0864745153919605,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_24,1,O=C1CC[C@H](N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1,O=C1CC[C@H](N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1,Polycyclic_Hetero,-2.915675363981101e-14,4.4485488090152826e-15,-0.102919825047147,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_25,1,O=C1CC[C@H](CSc2ccccc2)C(=O)N1,O=C1CC[C@H](CSc2ccccc2)C(=O)N1,Bicyclic_Hetero,1.8697687076790568e-14,-0.0600586216813767,-2.365923549028782e-15,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_26,1,O=C1CC[C@H](CS(=O)(=O)c2ccccc2)C(=O)N1,O=C1CC[C@H](CS(=O)(=O)c2ccccc2)C(=O)N1,Bicyclic_Hetero,2.8335756680110446e-14,6.116970729225056e-15,-2.0993959259202157e-14,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_27,1,O=C1CC[C@H](N2Cc3c(OCc4ccc(CN5CCN(c6ccccc6)CC5)cc4)cccc3C2=O)C(=O)N1,O=C1CC[C@H](N2Cc3c(OCc4ccc(CN5CCN(c6ccccc6)CC5)cc4)cccc3C2=O)C(=O)N1,Polycyclic_Hetero,1.5649453564012068e-13,-6.688233691446085e-14,-0.0443302946787532,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_28,1,O=C1CC[C@H](N2Cc3cc(Nc4noc5ccccc45)ccc3C2=O)C(=O)N1,O=C1CC[C@H](N2Cc3cc(Nc4noc5ccccc45)ccc3C2=O)C(=O)N1,Polycyclic_Hetero,-8.881784197001252e-16,-0.2134436980523061,-7.065055611250996e-17,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_29,1,O=c1c(-n2ccnn2)c[nH]n1-c1cc(N2CCOCC2)ncn1,O=c1c(-n2ccnn2)c[nH]n1-c1cc(N2CCOCC2)ncn1,Polycyclic_Hetero,4.2008438769600523e-16,9.3618806400824e-16,-0.1022776465909397,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_3,1,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,Bicyclic_Hetero,6.371714750022637e-16,1.1584935909132068e-15,-1.1391853643979866e-15,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_30,1,O=C1CC[C@]2(CC(c3ccccc3)=NO2)C(=O)N1,O=C1CC[C@]2(CC(c3ccccc3)=NO2)C(=O)N1,Polycyclic_Hetero,5.464177258810802e-12,1.3668325730501845e-12,-0.0904780547993217,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_31,1,O=C1CC[C@H](N2C(=O)c3ccc(N4CCOCC4)cc3C2=O)C(=O)N1,O=C1CC[C@H](N2C(=O)c3ccc(N4CCOCC4)cc3C2=O)C(=O)N1,Polycyclic_Hetero,1.029864024747526e-14,-0.1577167610244012,6.6454778188277216e-15,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_32,1,O=C1CC[C@H](N2Cc3cc(OC[C@H]4CCCCN4)ccc3C2=O)C(=O)N1,O=C1CC[C@H](N2Cc3cc(OC[C@H]4CCCCN4)ccc3C2=O)C(=O)N1,Polycyclic_Hetero,1.9739312225580333e-14,-4.114622474937315e-15,-0.1304090431566409,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_33,1,[BH2-]1OC2OCC[C@H]2O1,[BH2-]1OC2OCC[C@H]2O1,Bicyclic_Hetero,4.2500725161431766e-15,4.718447854656915e-16,-0.0784600561167666,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_34,1,O=C(NCCc1c[nH]cn1)C1CC=CC1,O=C(NCCc1c[nH]cn1)C1CC=CC1,Bicyclic_Hetero,-8.541315802782871e-15,1.4358884451818693e-15,-0.0151157609948707,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_35,1,O=C1CCc2cc(NS(=O)(=O)Cc3ccccc3)ccc2N1,O=C1CCc2cc(NS(=O)(=O)Cc3ccccc3)ccc2N1,Polycyclic_Hetero,-6.415920426518011e-15,-1.7155867369997154e-14,0.0570404006111179,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_36,1,c1ccccc1,c1ccccc1,Monocyclic,6.291263806209222e-16,6.291263806209222e-16,-5.169475958410885e-16,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_4,1,O=C1CC[C@H](N2Cc3cc(CNC(=O)Nc4ccccc4)ccc3C2=O)C(=O)N1,O=C1CC[C@H](N2Cc3cc(CNC(=O)Nc4ccccc4)ccc3C2=O)C(=O)N1,Polycyclic_Hetero,1.3594567648471304e-14,0.0193616526989916,-2.0845003727656e-15,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_5,1,O=C1CCC(c2ccccc2)C(=O)N1,O=C1CCC(c2ccccc2)C(=O)N1,Bicyclic_Hetero,1.6022738691390262e-14,-8.86402062860725e-15,-0.0864745153919545,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_6,1,O=C1C[C@H](c2cccc(OC3CCCC3)c2)CN1,O=C1C[C@H](c2cccc(OC3CCCC3)c2)CN1,Polycyclic_Hetero,-3.5311093388618493e-14,-2.2035226496317025e-13,-0.0551457955083714,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_7,1,O=C1CC[C@H](N2Cc3c(OCc4ccc(CN5CCOCC5)cc4)cccc3C2=O)C(=O)N1,O=C1CC[C@H](N2Cc3c(OCc4ccc(CN5CCOCC5)cc4)cccc3C2=O)C(=O)N1,Polycyclic_Hetero,-6.572520305780927e-15,1.1165142884313656e-14,0.0383327978554438,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_8,1,O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Polycyclic_Hetero,2.7411023642469387e-15,-1.1331931561691254e-15,0.0734518215037781,1,53,0.0188679245283018,3.3227907634689804,0.927242417449185
CRBN,CRBN_SCAF_9,8,O=C1CC[C@H](NC(=O)c2ccccc2)C(=O)N1,O=C1CC[C@H](NC(=O)c2ccccc2)C(=O)N1,Bicyclic_Hetero,5.469953991670426e-14,7.156727318049199e-14,0.0734518215037761,1,53,0.1509433962264151,3.3227907634689804,0.927242417449185
DCAF1,DCAF1_SCAF_1,1,c1ccc(N2CCC[C@@H](Nc3cc(N4CCOCC4)ncn3)C2)cc1,c1ccc(N2CCC[C@@H](Nc3cc(N4CCOCC4)ncn3)C2)cc1,Polycyclic_Hetero,7.407408020299044e-15,5.290212712338872e-16,-6.412648190234904e-15,1,12,0.0833333333333333,2.3693821196946767,0.9881090915741207
DCAF1,DCAF1_SCAF_10,1,[BH2-]1OC2OCC[C@H]2O1,[BH2-]1OC2OCC[C@H]2O1,Bicyclic_Hetero,4.2500725161431766e-15,4.718447854656915e-16,-0.0784600561167666,1,12,0.0833333333333333,2.3693821196946767,0.9881090915741207
DCAF1,DCAF1_SCAF_11,1,O=C1CCc2cc(NS(=O)(=O)Cc3ccccc3)ccc2N1,O=C1CCc2cc(NS(=O)(=O)Cc3ccccc3)ccc2N1,Polycyclic_Hetero,-6.415920426518011e-15,-1.7155867369997154e-14,0.0570404006111179,1,12,0.0833333333333333,2.3693821196946767,0.9881090915741207
DCAF1,DCAF1_SCAF_2,2,O=C(NCc1ccccc1)c1c[nH]nc1-c1ccccc1,O=C(NCc1ccccc1)c1c[nH]nc1-c1ccccc1,Polycyclic_Hetero,1.0103029524088925e-14,3.1332960917198858e-15,0.0218589756220517,1,12,0.1666666666666666,2.3693821196946767,0.9881090915741207
DCAF1,DCAF1_SCAF_3,1,C1=C(c2ccccc2)N2CCN=C2c2ccccc21,C1=C(c2ccccc2)N2CCN=C2c2ccccc21,Polycyclic_Hetero,-5.5255463504374457e-14,-9.547918011776346e-14,-1.3208289680843527e-14,1,12,0.0833333333333333,2.3693821196946767,0.9881090915741207
DCAF1,DCAF1_SCAF_4,1,N=C1C[C@H](c2cccc(Oc3ccccc3)c2)CN1,N=C1C[C@H](c2cccc(Oc3ccccc3)c2)CN1,Polycyclic_Hetero,1.1566620677123345e-13,-1.2865898822513244e-14,0.0697988922691837,1,12,0.0833333333333333,2.3693821196946767,0.9881090915741207
DCAF1,DCAF1_SCAF_5,1,c1ccc(CCc2cc3ccccc3c3nccn23)cc1,c1ccc(CCc2cc3ccccc3c3nccn23)cc1,Polycyclic_Hetero,-1.4642941513975038e-15,-0.0551457955084218,-4.860976486196631e-16,1,12,0.0833333333333333,2.3693821196946767,0.9881090915741207
DCAF1,DCAF1_SCAF_6,1,c1ccc(C2(c3cc4ccccc4c4nccn34)CC2)cc1,c1ccc(C2(c3cc4ccccc4c4nccn34)CC2)cc1,Polycyclic_Hetero,3.0249253394518557e-12,1.729690951871763e-12,1.069308384528181e-12,1,12,0.0833333333333333,2.3693821196946767,0.9881090915741207
DCAF1,DCAF1_SCAF_7,1,C1=C(C2(c3ccccc3)CC2)N2CCN=C2c2ccc(N3CCNCC3)cc21,C1=C(C2(c3ccccc3)CC2)N2CCN=C2c2ccc(N3CCNCC3)cc21,Polycyclic_Hetero,2.354783035229957e-13,7.321304056833671e-14,-0.1079046173439301,1,12,0.0833333333333333,2.3693821196946767,0.9881090915741207
DCAF1,DCAF1_SCAF_8,1,c1ccc(C2(c3ncc4ccc(N5CCNCC5)cc4n3)CC2)cc1,c1ccc(C2(c3ncc4ccc(N5CCNCC5)cc4n3)CC2)cc1,Polycyclic_Hetero,-1.2661266834023061e-15,1.370062455920406e-15,0.1026127489565617,1,12,0.0833333333333333,2.3693821196946767,0.9881090915741207
DCAF1,DCAF1_SCAF_9,1,c1ccc(C2(c3ncc4ccc(N5CCNCC5)cc4n3)CCCC2)cc1,c1ccc(C2(c3ncc4ccc(N5CCNCC5)cc4n3)CCCC2)cc1,Polycyclic_Hetero,-2.6595078340832054e-14,6.493757313845255e-15,0.1118914206095907,1,12,0.0833333333333333,2.3693821196946767,0.9881090915741207
DCAF15,DCAF15_SCAF_1,3,O=S(=O)(Nc1cccc2cc[nH]c12)c1ccccc1,O=S(=O)(Nc1cccc2cc[nH]c12)c1ccccc1,Polycyclic_Hetero,7.67434861179408e-12,-4.7359671739855e-11,-0.0089859171471968,1,5,0.6,0.9502705392332348,0.8649735207179272
DCAF15,DCAF15_SCAF_2,1,O=C(NS(=O)(=O)c1cccs1)c1ccccc1,O=C(NS(=O)(=O)c1cccs1)c1ccccc1,Bicyclic_Hetero,-1.6909209075667885e-12,-5.367219489362294e-12,0.0156415788094984,1,5,0.2,0.9502705392332348,0.8649735207179272
DCAF15,DCAF15_SCAF_3,1,O=c1c(-n2ccnn2)c[nH]n1-c1cc(N2CCOCC2)ncn1,O=c1c(-n2ccnn2)c[nH]n1-c1cc(N2CCOCC2)ncn1,Polycyclic_Hetero,4.2008438769600523e-16,9.3618806400824e-16,-0.1022776465909397,1,5,0.2,0.9502705392332348,0.8649735207179272
DCAF16,DCAF16_SCAF_1,1,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,Polycyclic_Hetero,-9.371813669939252e-15,-6.278502622018126e-16,-0.0600586216813836,1,1,1.0,0.0,0.0
HUWE1,HUWE1_SCAF_1,3,O=c1ncccn1[C@H]1CCCO1,O=c1ncccn1[C@H]1CCCO1,Bicyclic_Hetero,2.1397025565503018e-15,1.6047769174127265e-15,-0.0274599461902651,1,30,0.1,3.060287092608695,0.9629437561394744
HUWE1,HUWE1_SCAF_10,1,c1ncc2ncn([C@H]3CCC4C[C@@H]43)c2n1,c1ncc2ncn([C@H]3CCC4C[C@@H]43)c2n1,Polycyclic_Hetero,-7.279156701269199e-14,2.5288413338684124e-14,-0.0448379083436949,1,30,0.0333333333333333,3.060287092608695,0.9629437561394744
HUWE1,HUWE1_SCAF_11,1,c1ncc2ncn([C@@]34CCC[C@@H]3C4)c2n1,c1ncc2ncn([C@@]34CCC[C@@H]3C4)c2n1,Polycyclic_Hetero,-9.724731308290723e-15,2.3026847918151394e-16,-0.0448379083436795,1,30,0.0333333333333333,3.060287092608695,0.9629437561394744
HUWE1,HUWE1_SCAF_12,1,O=c1[nH]cnc2c1nc(Nc1ccc3ccc4cccc5ccc1c3c45)n2[C@H]1CCCO1,O=c1[nH]cnc2c1nc(Nc1ccc3ccc4cccc5ccc1c3c45)n2[C@H]1CCCO1,Polycyclic_Hetero,1.0913818868249005e-12,-5.770460362265451e-13,0.1022107356315086,1,30,0.0333333333333333,3.060287092608695,0.9629437561394744
HUWE1,HUWE1_SCAF_13,1,O=c1[nH]c2nccn2c2c1ncn2[C@H]1CCCO1,O=c1[nH]c2nccn2c2c1ncn2[C@H]1CCCO1,Polycyclic_Hetero,5.9109805173146255e-15,-5.04577222915847e-15,6.370383148194002e-15,1,30,0.0333333333333333,3.060287092608695,0.9629437561394744
HUWE1,HUWE1_SCAF_14,1,C1=[NH+]CCN1,C1=[NH+]CCN1,Monocyclic_Hetero,-4.718447854656915e-15,-1.3281968117932289e-13,-2.3752296426001373e-13,1,30,0.0333333333333333,3.060287092608695,0.9629437561394744
HUWE1,HUWE1_SCAF_15,1,c1ccc2ncc(CN[C@H]3C[C@@H](N4CCOCC4)[C@@H]4OC[C@H]3O4)cc2c1,c1ccc2ncc(CN[C@H]3C[C@@H](N4CCOCC4)[C@@H]4OC[C@H]3O4)cc2c1,Polycyclic_Hetero,9.125597880840503e-15,-6.234664201032252e-15,-0.0952606748800139,1,30,0.0333333333333333,3.060287092608695,0.9629437561394744
HUWE1,HUWE1_SCAF_16,1,O=C1C=C2N(C(=O)c3cc4ccccc4[nH]3)C[C@H]3C[C@@]23c2cc(C(=O)N3CCc4c3ccc3[nH]ccc43)[nH]c21,O=C1C=C2N(C(=O)c3cc4ccccc4[nH]3)C[C@H]3C[C@@]23c2cc(C(=O)N3CCc4c3ccc3[nH]ccc43)[nH]c21,Polycyclic_Hetero,2.5176993106822097e-15,-5.260129249736125e-15,-0.1464643926492007,1,30,0.0333333333333333,3.060287092608695,0.9629437561394744
HUWE1,HUWE1_SCAF_17,1,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)O,,Acyclic,-1.395708945243054e-14,-1.0602629885170243e-14,0.2036053606242727,1,30,0.0333333333333333,3.060287092608695,0.9629437561394744
HUWE1,HUWE1_SCAF_18,1,O=c1cc(Nc2ccccc2)[nH]c2ccccc12,O=c1cc(Nc2ccccc2)[nH]c2ccccc12,Polycyclic_Hetero,-2.9650356244322514e-14,-2.7570538444858052e-14,-3.682979847023186e-14,1,30,0.0333333333333333,3.060287092608695,0.9629437561394744
HUWE1,HUWE1_SCAF_19,1,c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,Polycyclic_Hetero,1.2111523905001709e-15,2.381933034650336e-15,-0.0274599461902665,1,30,0.0333333333333333,3.060287092608695,0.9629437561394744
HUWE1,HUWE1_SCAF_2,1,c1cn2cnc3c(ncn3[C@H]3CCCO3)c2n1,c1cn2cnc3c(ncn3[C@H]3CCCO3)c2n1,Polycyclic_Hetero,-1.2878587085651816e-14,-8.120488408686859e-15,0.142056636644578,1,30,0.0333333333333333,3.060287092608695,0.9629437561394744
