MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,RECRUITER_CODE,SMILES,PAINS_Hits,Brenk_Hits
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00568,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00569,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00570,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00571,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
275.34799999999996,2.6201,47.56,3,1,4,3,1,0.5625,20,,0,0.9185493295282857,494.49539394598946,-1.71,13.281269762422207,5.732859086712495,2.738743049573185,0,0,2,2,4,76.24570000000004,,True,True,True,True,True,L00381,COc1ccc(cc1OC2CCCC2)C3CC(=O)NC3,None,None
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00572,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00573,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
307.218,-0.5621,155.70999999999998,6,3,4,2,1,0.16666666666666666,22,,0,0.3820130667023042,712.671477180318,-3.3000000000000003,15.09578448298075,5.596201067918239,2.7484880048608185,0,0,1,1,10,69.07660000000001,,True,False,False,False,False,L00574,c1cc(c(c(c1)[N+](=O)[O-])C(=O)O)C(=O)NC2CC(=O)NC2=O,None,nitro_group; Oxygen-nitrogen_single_bond; phthalimide
307.218,-0.5621,155.70999999999998,6,3,4,2,1,0.16666666666666666,22,,0,0.3820130667023042,712.671477180318,-3.3000000000000003,15.09578448298075,5.596201067918239,2.7484880048608185,0,0,1,1,10,69.07660000000001,,True,False,False,False,False,L00297,c1cc(c(c(c1)[N+](=O)[O-])C(=O)O)C(=O)NC2CC(=O)NC2=O,None,nitro_group; Oxygen-nitrogen_single_bond; phthalimide
307.218,-0.5621,155.70999999999998,6,3,4,2,1,0.16666666666666666,22,,0,0.3820130667023042,712.671477180318,-3.3000000000000003,15.09578448298075,5.596201067918239,2.7484880048608185,0,0,1,1,10,69.07660000000001,,True,False,False,False,False,L00298,c1cc(c(c(c1)[N+](=O)[O-])C(=O)O)C(=O)NC2CC(=O)NC2=O,None,nitro_group; Oxygen-nitrogen_single_bond; phthalimide
277.236,-0.8881000000000003,138.58999999999997,5,4,3,2,1,0.16666666666666666,20,,0,0.4174017550980168,625.5188512862373,-2.9,13.52977931076585,4.9985171770536905,2.436693695668055,0,0,1,1,8,66.83460000000001,,True,True,False,False,True,L00575,c1cc(c(c(c1)N)C(=O)NC2CC(=O)NC2=O)C(=O)O,None,aniline; phthalimide
277.236,-0.8881000000000003,138.58999999999997,5,4,3,2,1,0.16666666666666666,20,,0,0.4174017550980168,625.5188512862373,-2.9,13.52977931076585,4.9985171770536905,2.436693695668055,0,0,1,1,8,66.83460000000001,,True,True,False,False,True,L00294,c1cc(c(c(c1)N)C(=O)NC2CC(=O)NC2=O)C(=O)O,None,aniline; phthalimide
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00576,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00302,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00577,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00299,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
277.28000000000003,-0.21339999999999998,110.51999999999998,5,3,4,2,1,0.3076923076923077,20,,0,0.6592742442643439,526.9227354999158,-2.4099999999999997,14.008764419260965,6.157409602318461,3.5464818779754936,0,0,1,1,7,69.20880000000001,,True,True,True,True,True,L00578,c1cc(ccc1CN)COC(=O)NC2CC(=O)NC2=O,None,phthalimide
277.28000000000003,-0.21339999999999998,110.51999999999998,5,3,4,2,1,0.3076923076923077,20,,0,0.6592742442643439,526.9227354999158,-2.4099999999999997,14.008764419260965,6.157409602318461,3.5464818779754936,0,0,1,1,7,69.20880000000001,,True,True,True,True,True,L00301,c1cc(ccc1CN)COC(=O)NC2CC(=O)NC2=O,None,phthalimide
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00579,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00300,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00580,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00305,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
377.35300000000007,-0.19109999999999888,150.9,6,4,8,2,1,0.35294117647058826,27,,0,0.4583566388057615,745.3988573496748,-3.4300000000000006,19.88897435234839,9.318138617957276,6.765778137220777,0,0,1,1,10,90.03390000000003,,True,False,False,True,False,L00581,c1cc(ccc1CNC(=O)CCC(=O)O)COC(=O)NC2CC(=O)NC2=O,None,phthalimide
377.35300000000007,-0.19109999999999888,150.9,6,4,8,2,1,0.35294117647058826,27,,0,0.4583566388057615,745.3988573496748,-3.4300000000000006,19.88897435234839,9.318138617957276,6.765778137220777,0,0,1,1,10,90.03390000000003,,True,False,False,True,False,L00303,c1cc(ccc1CNC(=O)CCC(=O)O)COC(=O)NC2CC(=O)NC2=O,None,phthalimide
283.32800000000003,0.03530000000000183,110.52,5,3,3,2,0,0.7692307692307693,20,,0,0.6330934720425776,391.07750711629194,-1.6300000000000001,14.772348740088205,6.693864511461339,4.192825911009307,0,0,2,2,7,70.58880000000002,,True,True,True,True,True,L00582,C1CC(CCC1COC(=O)NC2CCC(=O)NC2=O)N,None,phthalimide
283.32800000000003,0.03530000000000183,110.52,5,3,3,2,0,0.7692307692307693,20,,0,0.6330934720425776,391.07750711629194,-1.6300000000000001,14.772348740088205,6.693864511461339,4.192825911009307,0,0,2,2,7,70.58880000000002,,True,True,True,True,True,L00308,C1CC(CCC1COC(=O)NC2CCC(=O)NC2=O)N,None,phthalimide
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00583,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
286.291,0.26482,107.08,6,2,1,3,2,0.2857142857142857,21,,0,0.57752832562585,824.8143063852585,-2.7,13.290802979931568,4.691725954128346,2.0635809609220943,0,0,1,1,7,76.57310000000001,,True,True,True,True,True,L00584,CC1=Nc2cccc(c2C(=O)N1C3CCC(=O)NC3=O)N,None,aniline; phthalimide
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00585,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,None,phthalimide
265.244,-0.057100000000000095,101.28999999999999,4,3,2,2,1,0.25,19,,0,0.5148487224075436,559.1506318339563,-2.44,13.002608745284633,5.049061302259741,2.872466567392907,0,0,1,1,7,64.45030000000001,,True,True,True,False,True,L00586,c1cc(c(cc1N)F)C(=O)NC2CCC(=O)NC2=O,None,aniline; phthalimide
265.244,-0.057100000000000095,101.28999999999999,4,3,2,2,1,0.25,19,,0,0.5148487224075436,559.1506318339563,-2.44,13.002608745284633,5.049061302259741,2.872466567392907,0,0,1,1,7,64.45030000000001,,True,True,True,False,True,L00462,c1cc(c(cc1N)F)C(=O)NC2CCC(=O)NC2=O,None,aniline; phthalimide
292.32,0.9928999999999994,86.10999999999999,7,1,3,3,2,0.3333333333333333,20,,0,0.8526534787418987,663.2164862052196,-2.2199999999999998,12.79567188517576,5.044572581241027,2.1783432255990154,0,0,1,1,8,71.30770000000001,,True,True,True,True,True,L00491,COc1cscc1c2cn(nn2)C3CCC(=O)NC3=O,None,phthalimide
292.32,0.9928999999999994,86.10999999999999,7,1,3,3,2,0.3333333333333333,20,,0,0.8526534787418987,663.2164862052196,-2.2199999999999998,12.79567188517576,5.044572581241027,2.1783432255990154,0,0,1,1,8,71.30770000000001,,True,True,True,True,True,L00492,COc1cscc1c2cn(nn2)C3CCC(=O)NC3=O,None,phthalimide
276.29200000000003,0.3315999999999995,84.5,4,2,4,2,1,0.35714285714285715,20,,0,0.7762279006260338,524.480370429107,-2.3699999999999997,14.047890098707231,6.184619606212177,3.343868933284382,0,0,1,1,6,71.12840000000003,,True,True,True,True,True,L00541,CNC(=O)COc1ccc(cc1)C2CCC(=O)NC2=O,None,phthalimide
229.23899999999995,1.6141999999999999,65.2,2,2,1,3,2,0.16666666666666666,17,,0,0.7798525806383007,602.5714778520378,-2.3,9.892943454408547,3.6218803783048403,1.6513247453090185,0,0,1,1,5,63.800400000000025,,True,True,True,False,True,L00542,c1cc(cc2c1cc[nH]2)N3CCC(=O)NC3=O,None,None
676.8,1.0508000000000033,174.31999999999996,9,4,10,7,3,0.48484848484848486,48,,0,0.23074528873012043,1866.040924478621,-4.18,32.37115928381918,13.027082386535024,6.721463488261432,1,0,4,4,15,175.97359999999958,,True,False,False,False,False,L00543,c1cc(cc(c1)C(=O)NCCN2CCC(CC2)NS(=O)(=O)N3CCC4(C3)CC(=O)NC4=O)c5cn6cc(ccc6n5)C(=O)NC7CCC7,None,phthalimide
410.4740000000003,1.1971,98.82,6,2,4,5,1,0.5454545454545454,30,,0,0.7240146615459417,945.0652651018027,-2.74,19.23700011748,7.194270766048456,2.8472068825486327,0,2,4,3,8,109.10140000000006,,True,True,True,True,True,L00544,CCNC1CCC2CCC1N2c3ccc4c(c3)C(=O)N(C4=O)C5CCC(=O)NC5=O,None,phthalimide
572.6470000000003,2.3537,133.19,7,2,7,6,4,0.2413793103448276,41,,0,0.34942776772219114,1753.8534548897983,-4.549999999999999,26.661276684598274,10.787723501459297,5.432307550875978,0,0,2,1,12,151.0831999999998,,True,True,False,False,True,L00493,c1ccc(cc1)CS(=O)(=O)N2Cc3ccccc3CC2C(=O)NCc4ccn5c(c4)ncc5N6CCC(=O)NC6=O,None,None
409.8730000000003,3.8397000000000023,73.22,5,1,5,4,3,0.22727272727272727,29,,0,0.6496161710848571,1059.4193789383933,-3.119999999999999,19.20749134828616,8.089201894894131,4.171090582181165,0,0,1,1,7,109.55270000000004,,True,True,True,True,True,L00494,Cn1ccc(n1)COc2ccc(cc2)c3cccc(c3Cl)C4CCC(=O)NC4=O,None,phthalimide
292.32,0.9928999999999994,86.10999999999999,7,1,3,3,2,0.3333333333333333,20,,0,0.8526534787418987,663.2164862052196,-2.2199999999999998,12.79567188517576,5.044572581241027,2.1783432255990154,0,0,1,1,8,71.30770000000001,,True,True,True,True,True,L00495,COc1cscc1c2cn(nn2)C3CCC(=O)NC3=O,None,phthalimide
355.3940000000002,0.46119999999999967,87.74000000000001,5,2,1,5,1,0.5263157894736842,26,,0,0.7149371125467253,828.3182929159823,-2.41,15.814555939433644,5.541760815722175,2.127600451282727,1,0,4,2,7,91.76390000000004,,True,True,True,True,True,L00601,c1cc2c(c3c1C(=O)N(C3)C4CCC(=O)NC4=O)OCC25CCNCC5,None,phthalimide
339.355,0.18709999999999988,93.41999999999999,7,2,1,5,3,0.35294117647058826,25,,0,0.6599906431261493,1087.5917667966687,-2.87,14.471101463743134,5.06138796185016,2.003211154765003,1,0,2,1,8,90.68640000000005,,True,True,True,True,True,L00602,c1cn2c(cnc2c3c1C4(CCNCC4)CO3)N5C=CC(=O)NC5=O,None,None
457.5340000000003,2.5971,87.53999999999999,6,1,4,6,3,0.38461538461538464,34,,0,0.6088295186319552,1337.6997690718624,-3.52,21.04275984437618,8.056255873176054,3.4918489839052076,0,0,3,2,8,126.70620000000007,,True,True,True,True,True,L00603,Cn1ccc2c1nc(cc2CN3CCCC3)c4ccc5c(c4)CN(C5=O)C6CCC(=O)NC6=O,None,phthalimide
499.5710000000004,2.6314,96.77000000000001,7,1,5,7,3,0.42857142857142855,37,,0,0.5424782931405534,1435.8403733923546,-3.5600000000000005,22.62320585560936,8.77802895247339,3.843020259092678,0,0,4,3,9,135.5812,,True,True,True,False,True,L00604,c1cc2c(cc1c3cc(c4ccn(c4n3)C5COC5)CN6CCCC6)CN(C2=O)C7CCC(=O)NC7=O,None,phthalimide
715.2590000000001,4.2001000000000035,155.44,13,3,9,7,5,0.4444444444444444,51,,0,0.18933269932321703,2209.387611392723,-4.95,34.49671633072832,13.307013039452496,6.770238702200213,0,0,2,2,15,197.89519999999953,,False,False,False,False,False,L00605,CC(C)(CCN1c2cc(ccc2N(C1=O)C)Nc3c(cnc(n3)N(C)C4CCN(CC4)c5ccc6c(c5)n(nc6C7CCC(=O)NC7=O)C)Cl)O,None,phthalimide
433.5080000000002,1.9312,89.95,5,2,4,5,2,0.4,32,,0,0.7195552116095995,1060.1116314981157,-3.0300000000000002,20.849494681289016,8.147711830220004,3.823881222383442,0,0,3,2,7,117.33700000000007,,True,True,True,True,True,L00606,c1ccc(cc1)CN2CCC(CC2)(c3ccc4c(c3)CN(C4=O)C5CCC(=O)NC5=O)O,None,phthalimide
1475.375999999999,8.616300000000008,297.68999999999994,17,7,43,7,6,0.42857142857142855,102,,0,0.010703520173245266,3818.8727609491516,-8.240000000000002,81.06365804956755,41.75893032766585,25.922094352718315,0,0,1,1,32,369.12710000000124,,False,False,False,False,False,L00496,CC1CN(CC(N1C)C)c2ccc(cc2NC(=O)C3=CNC(=O)C=C3C(F)(F)F)c4cc(ccc4F)C(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)C=Cc5c(c(c[nH]5)C(=O)NC(CC(=O)N)c6ccc(c(c6)Cl)F)c7ccc(cc7F)Cl,None,Aliphatic_long_chain; Michael_acceptor_1
579.4310000000004,4.779100000000003,126.30999999999999,4,4,12,3,3,0.2222222222222222,39,,0,0.18208627006446615,1394.1017569866362,-3.7299999999999986,29.820497392863878,13.884003228003822,8.126023876242005,0,0,0,0,12,145.1619999999999,,True,False,True,False,True,L00607,COCCCNC(=O)C=Cc1c(c(c[nH]1)C(=O)NC(CC(=O)N)c2ccc(c(c2)Cl)F)c3ccc(cc3F)Cl,None,Aliphatic_long_chain; Michael_acceptor_1
617.484,4.808900000000003,118.26999999999998,6,3,10,5,4,0.27586206896551724,42,,0,0.23627708997802133,1601.932084949186,-3.769999999999999,29.713116626926432,13.034704360863609,6.814919245039139,0,0,1,1,13,155.10529999999974,,True,True,True,False,False,L00608,c1cc(c(cc1C(CC(=O)N)NC(=O)c2c[nH]c(c2c3ccc(cc3F)Cl)c4cnn(c4)CCN5CCOCC5)Cl)F,None,None
