Ligase,pdb_id,Ligand
TRIM21,7HMH,A00
TRIM21,7HLS,A19
VHL,9OIQ,A48
VHL,9OIM,A49
VHL,9OIN,A50
KEAP1,9J7F,A62
KEAP1,9J71,A63
KEAP1,9J7G,A64
MDM2,9GFK,A80
VHL,8ZV8,B09
VHL,9IPW,B10
VHL,8ZVJ,B11
HUWE1,8Y26,B12
MDM2,9FQL,B19
