RECRUITER_CODE,smiles_atom_index,smile_atom
L00062,23,C
L00062,24,C
L00062,25,C
L00062,26,C
L00062,27,Cl
L00062,28,C
L00062,29,C
L00062,30,C
L00062,31,C
L00062,32,C
L00062,33,C
L00062,34,Cl
L00063,0,C
L00063,1,C
L00063,2,C
L00063,3,C
L00063,4,C
L00063,5,O
L00063,6,N
L00063,7,C
L00063,8,C
L00063,9,C
L00063,10,C
L00063,11,C
L00063,12,O
L00063,13,C
L00063,14,C
L00063,15,C
L00063,16,O
L00063,17,O
L00063,18,C
L00063,19,C
L00063,20,C
L00063,21,C
L00063,22,C
L00063,23,C
L00063,24,Cl
L00063,25,C
L00063,26,C
L00063,27,C
L00063,28,C
L00063,29,C
L00063,30,C
L00063,31,Cl
L00064,0,C
L00064,1,C
L00064,2,C
L00064,3,C
L00064,4,O
L00064,5,N
L00064,6,C
L00064,7,C
L00064,8,C
L00064,9,C
L00064,10,C
L00064,11,O
L00064,12,C
L00064,13,C
L00064,14,O
L00064,15,O
L00064,16,C
L00064,17,C
L00064,18,C
L00064,19,C
L00064,20,C
L00064,21,C
L00064,22,Cl
L00064,23,C
L00064,24,C
L00064,25,C
L00064,26,C
L00064,27,C
L00064,28,C
L00064,29,Cl
L00065,0,C
L00065,1,C
L00065,2,C
L00065,3,C
L00065,4,C
L00065,5,C
L00065,6,C
L00065,7,C
L00065,8,N
L00065,9,C
L00065,10,C
L00065,11,N
L00065,12,C
L00065,13,O
L00065,14,C
L00065,15,C
L00065,16,C
L00065,17,C
L00065,18,C
L00065,19,C
L00065,20,C
L00065,21,O
L00065,22,C
L00065,23,O
L00065,24,C
L00065,25,C
L00065,26,C
L00065,27,C
L00065,28,C
L00065,29,C
L00065,30,C
L00065,31,O
L00065,32,O
L00066,0,C
L00066,1,C
L00066,2,C
L00066,3,C
L00066,4,C
L00066,5,C
L00066,6,Cl
L00066,7,C
L00066,8,C
L00066,9,C
L00066,10,C
L00066,11,O
L00066,12,N
L00066,13,C
L00066,14,C
L00066,15,C
L00066,16,C
L00066,17,C
L00066,18,C
L00066,19,C
L00066,20,Cl
L00066,21,C
L00066,22,C
L00066,23,C
L00066,24,C
L00066,25,C
L00066,26,C
L00066,27,O
L00066,28,O
L00067,0,C
L00067,1,C
