Ligase,Input_File,PDB_ID,Selected_Ligand,Ligand_Source_Chain,Ligand_Residue_Number,Ligand_Insertion_Code,Chosen_Protein_Chain_Source,Output_Path,Output_File,Final_Output_Chain
HUWE1,HUWE1/PDB/8RD0.pdb,8RD0,51X,D,1803,,D,HUWE1/PDB/8RD0_51X.pdb,8RD0_51X.pdb,A
HUWE1,HUWE1/PDB/8RD1.pdb,8RD1,YP2,C,1802,,C,HUWE1/PDB/8RD1_YP2.pdb,8RD1_YP2.pdb,A
