RECRUITER_CODE,smiles_atom_index,smile_atom
L00017,10,C
L00017,11,C
L00017,12,C
L00017,13,C
L00017,14,N
L00017,15,C
L00017,16,C
L00017,17,C
L00017,18,C
L00017,19,C
L00017,20,C
L00017,21,C
L00017,22,C
L00017,23,C
L00017,24,C
L00017,25,N
L00017,26,C
L00017,27,C
L00017,28,C
L00017,29,C
L00017,30,C
L00017,31,C
L00017,32,C
L00017,33,C
L00017,34,C
L00017,35,O
L00017,36,N
L00018,0,C
L00018,1,N
L00018,2,C
L00018,3,C
L00018,4,N
L00018,5,C
L00018,6,C
L00018,7,C
L00018,8,C
L00018,9,O
L00018,10,C
L00018,11,O
L00018,12,P
L00018,13,O
L00018,14,O
L00018,15,O
L00018,16,P
L00018,17,O
L00018,18,O
L00018,19,O
L00018,20,P
L00018,21,O
L00018,22,O
L00018,23,O
L00018,24,O
L00018,25,N
L00018,26,C
L00018,27,N
L00018,28,C
L00018,29,O
L00018,30,N
L00019,0,C
L00019,1,N
L00019,2,C
L00019,3,C
L00019,4,C
L00019,5,N
L00019,6,N
L00019,7,C
L00019,8,N
L00019,9,C
L00019,10,C
L00019,11,C
L00019,12,C
L00019,13,O
L00019,14,C
L00019,15,O
L00019,16,P
L00019,17,O
L00019,18,O
L00019,19,O
L00019,20,P
L00019,21,O
L00019,22,O
L00019,23,O
L00019,24,P
L00019,25,O
L00019,26,O
L00019,27,O
L00019,28,O
L00019,29,N
L00020,0,C
L00020,1,C
L00020,2,O
L00020,3,C
L00020,4,C
L00020,5,O
L00020,6,C
L00020,7,O
L00020,8,P
L00020,9,O
L00020,10,O
L00020,11,O
L00021,0,C
L00021,1,C
L00021,2,C
L00021,3,S
L00021,4,C
L00021,5,N
L00021,6,C
L00021,7,C
L00021,8,C
L00021,9,C
L00021,10,C
L00021,11,C
L00021,12,C
L00021,13,N
L00021,14,C
L00021,15,O
L00021,16,C
L00021,17,C
L00021,18,C
L00021,19,C
L00021,20,N
L00021,21,C
L00021,22,O
L00021,23,C
L00021,24,C
L00021,25,C
L00021,26,C
L00021,27,C
L00021,28,N
L00021,29,C
L00021,30,O
L00021,31,C
L00021,32,O
L00022,0,C
L00022,1,C
L00022,2,C
L00022,3,C
L00022,4,C
L00022,5,N
L00022,6,C
L00022,7,C
L00022,8,C
L00022,9,N
L00022,10,S
L00022,11,O
L00022,12,O
L00022,13,C
L00022,14,C
L00022,15,C
L00022,16,C
L00022,17,C
L00022,18,C
L00022,19,S
L00022,20,O
L00022,21,O
L00022,22,N
L00022,23,Cl
L00023,0,C
L00023,1,O
L00023,2,C
L00023,3,C
L00023,4,C
L00023,5,C
L00023,6,C
L00023,7,C
L00023,8,S
L00023,9,O
L00023,10,O
L00023,11,N
L00023,12,C
L00023,13,C
L00023,14,O
L00023,15,N
L00023,16,C
L00023,17,C
L00023,18,C
L00023,19,C
L00023,20,C
L00023,21,C
L00023,22,C
L00023,23,C
L00023,24,C
L00023,25,C
L00023,26,N
L00023,27,C
L00023,28,C
L00023,29,O
L00023,30,N
L00023,31,S
L00023,32,O
L00023,33,O
L00023,34,C
L00023,35,C
L00023,36,C
L00023,37,C
L00023,38,C
L00023,39,C
L00023,40,N
L00024,0,C
L00024,1,C
L00024,2,O
L00024,3,C
L00024,4,C
L00024,5,O
L00024,6,C
L00024,7,C
L00024,8,O
L00024,9,O
L00025,0,C
L00025,1,C
L00025,2,C
L00025,3,C
L00025,4,C
L00025,5,C
L00025,6,C
L00025,7,C
L00025,8,C
L00025,9,O
L00025,10,O
L00025,11,N
L00025,12,C
L00025,13,P
L00025,14,O
L00025,15,O
L00025,16,O
L00026,0,C
L00026,1,C
L00026,2,C
L00026,3,C
L00026,4,C
L00026,5,C
L00026,6,C
L00026,7,N
L00026,8,C
L00026,9,C
L00026,10,C
L00026,11,C
L00026,12,C
L00026,13,O
L00026,14,N
L00026,15,C
L00026,16,O
L00026,17,N
L00026,18,C
L00026,19,C
L00026,20,C
L00026,21,C
L00026,22,C
L00026,23,C
L00026,24,C
L00026,25,F
L00026,26,F
L00026,27,Cl
L00027,0,C
L00027,1,C
L00027,2,C
L00027,3,O
L00027,4,C
L00027,5,N
L00027,6,C
L00027,7,C
L00027,8,C
L00027,9,N
L00027,10,C
L00027,11,O
L00027,12,N
L00027,13,C
L00027,14,O
L00027,15,P
L00027,16,O
L00027,17,N
L00027,18,P
L00027,19,O
L00027,20,O
L00027,21,O
L00027,22,P
L00027,23,O
L00027,24,O
L00027,25,O
L00027,26,O
L00027,27,O
L00028,0,C
L00028,1,C
L00028,2,O
L00028,3,C
L00028,4,C
L00028,5,C
L00028,6,C
L00028,7,N
L00028,8,C
L00028,9,C
L00028,10,N
L00028,11,C
L00028,12,C
L00028,13,O
L00028,14,N
L00028,15,C
L00028,16,C
L00028,17,C
L00028,18,O
L00028,19,C
L00028,20,C
L00028,21,C
L00028,22,C
L00028,23,C
L00028,24,C
L00028,25,C
L00028,26,O
L00028,27,C
L00028,28,C
L00028,29,C
L00028,30,C
L00028,31,C
L00028,32,C
L00028,33,C
L00028,34,F
L00028,35,F
L00028,36,N
L00028,37,C
L00028,38,O
L00028,39,C
L00028,40,C
L00028,41,N
L00028,42,C
L00029,0,C
L00029,1,N
L00029,2,C
L00029,3,C
L00029,4,N
L00029,5,C
L00029,6,C
L00029,7,C
L00029,8,C
L00029,9,O
L00029,10,C
L00029,11,O
L00029,12,P
L00029,13,O
L00029,14,O
L00029,15,O
L00029,16,O
L00029,17,O
L00029,18,N
L00029,19,C
L00029,20,N
L00029,21,C
L00029,22,O
L00029,23,N
L00030,0,C
L00030,1,C
L00030,2,C
L00030,3,C
L00030,4,C
L00030,5,C
L00030,6,C
L00030,7,N
L00030,8,C
L00030,9,N
L00030,10,C
L00030,11,C
L00030,12,C
L00030,13,C
L00030,14,C
L00030,15,C
L00030,16,C
L00030,17,C
L00030,18,C
L00030,19,N
L00030,20,C
L00030,21,C
L00030,22,O
L00030,23,O
L00030,24,C
L00030,25,C
L00030,26,C
L00030,27,C
L00030,28,C
L00030,29,C
L00030,30,N
L00030,31,C
L00030,32,O
L00030,33,C
L00030,34,C
L00030,35,C
L00030,36,O
L00030,37,O
L00030,38,Cl
L00030,39,C
L00030,40,C
L00030,41,C
L00030,42,C
L00030,43,C
L00030,44,C
L00030,45,F
L00030,46,Cl
L00031,0,C
L00031,1,C
L00031,2,C
L00031,3,N
L00031,4,C
L00031,5,C
L00031,6,N
L00031,7,C
L00031,8,N
L00031,9,C
L00031,10,C
L00031,11,O
L00031,12,C
L00031,13,C
L00031,14,C
L00031,15,C
L00031,16,C
L00031,17,O
L00031,18,N
L00031,19,C
L00031,20,C
L00031,21,C
L00031,22,C
L00031,23,C
L00031,24,C
L00031,25,C
L00031,26,N
L00031,27,C
L00031,28,C
L00031,29,C
L00031,30,C
L00031,31,C
L00031,32,C
L00031,33,C
L00031,34,F
L00031,35,C
L00031,36,C
L00032,0,C
L00032,1,C
L00032,2,C
L00032,3,C
L00032,4,C
L00032,5,C
L00032,6,C
L00032,7,Cl
L00032,8,N
L00032,9,C
L00032,10,O
L00032,11,N
L00032,12,C
L00032,13,C
L00032,14,C
L00032,15,C
L00032,16,C
L00032,17,C
L00032,18,C
L00032,19,C
L00032,20,N
L00032,21,C
L00032,22,O
L00032,23,C
L00032,24,C
L00032,25,C
L00032,26,C
L00032,27,O
L00032,28,N
L00032,29,C
L00032,30,O
