Ligase,Scaffold_ID,Recruiter_Count
MDM2,MDM2_SCAF_27,1
MDM2,MDM2_SCAF_28,1
MDM2,MDM2_SCAF_29,1
MDM2,MDM2_SCAF_3,2
MDM2,MDM2_SCAF_30,1
MDM2,MDM2_SCAF_31,1
MDM2,MDM2_SCAF_32,2
MDM2,MDM2_SCAF_33,1
MDM2,MDM2_SCAF_34,2
MDM2,MDM2_SCAF_35,1
MDM2,MDM2_SCAF_36,1
MDM2,MDM2_SCAF_37,1
MDM2,MDM2_SCAF_38,1
MDM2,MDM2_SCAF_39,1
MDM2,MDM2_SCAF_4,1
MDM2,MDM2_SCAF_40,1
MDM2,MDM2_SCAF_41,1
MDM2,MDM2_SCAF_42,1
MDM2,MDM2_SCAF_43,1
MDM2,MDM2_SCAF_44,1
MDM2,MDM2_SCAF_45,2
MDM2,MDM2_SCAF_46,1
MDM2,MDM2_SCAF_47,1
MDM2,MDM2_SCAF_48,1
MDM2,MDM2_SCAF_49,1
MDM2,MDM2_SCAF_5,3
MDM2,MDM2_SCAF_50,1
MDM2,MDM2_SCAF_51,1
MDM2,MDM2_SCAF_52,1
MDM2,MDM2_SCAF_53,1
MDM2,MDM2_SCAF_54,1
MDM2,MDM2_SCAF_55,1
MDM2,MDM2_SCAF_56,1
MDM2,MDM2_SCAF_57,1
MDM2,MDM2_SCAF_58,1
MDM2,MDM2_SCAF_59,1
MDM2,MDM2_SCAF_6,1
MDM2,MDM2_SCAF_60,1
MDM2,MDM2_SCAF_61,1
MDM2,MDM2_SCAF_62,1
MDM2,MDM2_SCAF_63,1
MDM2,MDM2_SCAF_64,1
MDM2,MDM2_SCAF_65,4
MDM2,MDM2_SCAF_66,2
MDM2,MDM2_SCAF_67,1
MDM2,MDM2_SCAF_68,1
MDM2,MDM2_SCAF_69,1
MDM2,MDM2_SCAF_7,1
MDM2,MDM2_SCAF_70,1
MDM2,MDM2_SCAF_71,1
MDM2,MDM2_SCAF_72,1
MDM2,MDM2_SCAF_73,1
MDM2,MDM2_SCAF_74,1
MDM2,MDM2_SCAF_75,1
MDM2,MDM2_SCAF_76,1
MDM2,MDM2_SCAF_8,2
MDM2,MDM2_SCAF_9,2
PARKIN,PARKIN_SCAF_1,1
PARKIN,PARKIN_SCAF_10,1
PARKIN,PARKIN_SCAF_11,7
PARKIN,PARKIN_SCAF_12,1
PARKIN,PARKIN_SCAF_13,1
PARKIN,PARKIN_SCAF_14,1
PARKIN,PARKIN_SCAF_15,1
PARKIN,PARKIN_SCAF_16,1
PARKIN,PARKIN_SCAF_17,1
PARKIN,PARKIN_SCAF_18,1
PARKIN,PARKIN_SCAF_19,1
PARKIN,PARKIN_SCAF_2,1
PARKIN,PARKIN_SCAF_20,1
PARKIN,PARKIN_SCAF_21,1
PARKIN,PARKIN_SCAF_22,1
PARKIN,PARKIN_SCAF_23,1
PARKIN,PARKIN_SCAF_24,1
PARKIN,PARKIN_SCAF_25,1
PARKIN,PARKIN_SCAF_3,1
PARKIN,PARKIN_SCAF_4,1
PARKIN,PARKIN_SCAF_5,1
PARKIN,PARKIN_SCAF_6,1
PARKIN,PARKIN_SCAF_7,1
PARKIN,PARKIN_SCAF_8,1
PARKIN,PARKIN_SCAF_9,1
RNF4,RNF4_SCAF_1,1
SOCS2,SOCS2_SCAF_1,5
TRIM21,TRIM21_SCAF_1,1
TRIM21,TRIM21_SCAF_10,2
TRIM21,TRIM21_SCAF_11,1
TRIM21,TRIM21_SCAF_12,1
TRIM21,TRIM21_SCAF_13,1
TRIM21,TRIM21_SCAF_14,1
TRIM21,TRIM21_SCAF_15,1
TRIM21,TRIM21_SCAF_16,1
TRIM21,TRIM21_SCAF_17,2
TRIM21,TRIM21_SCAF_18,1
TRIM21,TRIM21_SCAF_19,1
TRIM21,TRIM21_SCAF_2,13
TRIM21,TRIM21_SCAF_20,1
TRIM21,TRIM21_SCAF_21,4
TRIM21,TRIM21_SCAF_22,1
TRIM21,TRIM21_SCAF_23,1
TRIM21,TRIM21_SCAF_24,1
TRIM21,TRIM21_SCAF_25,2
TRIM21,TRIM21_SCAF_26,1
TRIM21,TRIM21_SCAF_27,1
TRIM21,TRIM21_SCAF_28,1
TRIM21,TRIM21_SCAF_29,1
TRIM21,TRIM21_SCAF_3,1
TRIM21,TRIM21_SCAF_30,1
TRIM21,TRIM21_SCAF_31,1
TRIM21,TRIM21_SCAF_32,1
TRIM21,TRIM21_SCAF_33,1
TRIM21,TRIM21_SCAF_34,1
TRIM21,TRIM21_SCAF_35,1
TRIM21,TRIM21_SCAF_36,1
TRIM21,TRIM21_SCAF_37,1
TRIM21,TRIM21_SCAF_38,1
TRIM21,TRIM21_SCAF_39,1
TRIM21,TRIM21_SCAF_4,1
TRIM21,TRIM21_SCAF_40,1
TRIM21,TRIM21_SCAF_41,1
TRIM21,TRIM21_SCAF_42,1
TRIM21,TRIM21_SCAF_43,1
