MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,RECRUITER_CODE,SMILES,PAINS_Hits,Brenk_Hits
238.67399999999998,1.7756999999999996,79.11,2,3,3,2,2,0.18181818181818182,16,1,0,0.7626377539355754,535.7641262440613,-1.52,10.980103492712109,4.154573523638252,2.0277685898245172,0,0,0,2,0,5,62.623900000000006,,True,True,True,False,True,L00014,c1cc2c(cc1Cl)[nH]cc2C[C@@H](C(=O)O)N,None,None
363.223,-2.2471999999999994,205.77999999999994,9,6,4,3,2,0.5,24,3,0,0.3216923838142615,927.4519199545495,-2.0200000000000005,16.82442762630243,5.806126996248962,3.1265646464823735,0,0,1,2,1,14,77.91669999999998,,True,False,False,False,False,L00015,C1[C@@H]([C@H](O[C@H]1N2C3=C(C(=O)NC(=N3)N)NC2=O)COP(=O)(O)O)O,None,phosphor
449.5070000000003,1.8587999999999993,88.18,6,1,6,5,2,0.4,33,1,0,0.677692402721015,1062.2121094603442,-3.23,21.607097773972914,9.327947867341816,4.624596559995779,0,0,3,2,2,8,119.35720000000008,,True,True,True,True,True,L00016,c1cc2c(c(c1)OCc3ccc(cc3)CN4CCOCC4)CN(C2=O)[C@H]5CCC(=O)NC5=O,None,phthalimide
500.73100000000034,7.0018000000000065,69.81,4,3,13,5,3,0.5625,37,1,0,0.22098872367916567,1217.1239123398116,-2.6599999999999997,25.9673280635143,13.22920961853036,6.810765149908627,0,0,2,3,0,5,154.55509999999978,,False,False,False,False,False,L00017,c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCCCCCN[C@@H]4CCCC5=C4C=CC(=O)N5,None,Aliphatic_long_chain
507.18200000000013,-1.3065000000000007,278.86999999999995,13,7,8,3,2,0.5,31,5,0,0.20424699716324826,1174.3757191983013,-1.52,24.12892656881439,8.439850412270415,6.044250117071975,0,0,1,2,1,21,96.9116,,False,False,False,False,False,L00018,c1nc2c(n1[C@H]3C[C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O)N=C(NC2=O)N,None,phosphor
491.1830000000001,-0.5998000000000003,258.8999999999999,13,6,8,3,2,0.5,30,5,0,0.2518207356575117,1072.0889952867399,-1.3200000000000003,23.345361752471998,8.314508797243109,5.675150862068965,0,0,1,2,1,20,94.08590000000001,,False,False,False,False,False,L00019,c1nc(c2c(n1)n(cn2)[C@H]3C[C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O)N,None,phosphor
198.111,-0.7545,96.22,4,3,3,1,0,1.0,12,2,0,0.5158908698516231,188.37746628659806,0.029999999999999978,10.113125519534497,3.826027458710733,3.182800289849544,0,0,1,0,1,7,38.3599,,True,True,True,False,False,L00020,C1CO[C@@H]([C@H]1O)COP(=O)(O)O,None,phosphor
472.6110000000003,2.2473199999999998,111.63000000000001,6,3,6,3,2,0.5,33,3,0,0.5971182827106912,1012.2167088469319,-2.7800000000000002,24.85443019187222,10.007827668740036,5.970008520733399,0,0,1,2,1,9,127.31820000000008,,True,True,True,True,True,L00021,Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C)O,None,None
385.85400000000004,2.2695,122.11999999999999,4,3,4,3,3,0.0,24,0,0,0.6370196418331788,1120.5408771784275,-2.07,16.776126456378112,5.778540218917986,3.1088063378643196,0,0,0,3,0,10,91.93240000000002,,True,True,True,True,True,L00022,c1cc2c(c[nH]c2c(c1)NS(=O)(=O)c3ccc(cc3)S(=O)(=O)N)Cl,None,None
597.6750000000001,1.7917999999999992,196.19,8,3,11,4,4,0.1111111111111111,41,0,0,0.21750596856826696,1826.67390352669,-4.819999999999999,29.169660161957182,11.348424824120746,5.8769298195300035,0,0,0,4,0,14,155.2487999999998,,True,False,False,False,False,L00023,COc1ccc(cc1)S(=O)(=O)N(CC(=O)N)c2ccc(c3c2cccc3)N(CC(=O)N)S(=O)(=O)c4ccc(cc4)N,None,aniline
150.174,-0.9958,58.92,4,2,7,0,0,1.0,10,0,0,0.4571376225737072,49.70950594454669,-0.16,9.839999999999998,8.840000000000002,7.840000000000001,0,0,0,0,0,4,35.80959999999999,,True,True,True,False,False,L00024,C(COCCOCCO)O,None,Aliphatic_long_chain
259.1979999999999,0.3186999999999998,120.85,3,4,5,1,1,0.3,17,1,0,0.5648750878050898,438.51440875026884,-1.2000000000000002,13.86329113924051,5.421883656509696,5.102331453581349,0,0,0,1,0,7,61.50530000000002,,True,True,True,False,True,L00025,c1cc(ccc1C[C@@H](C(=O)O)N)CP(=O)(O)O,None,phosphor
401.80000000000007,4.500820000000003,65.2,2,2,3,4,3,0.1,28,0,0,0.5009937240428722,1169.7123469854648,-3.1899999999999986,18.1862676072455,6.759576855649991,3.033115941382791,0,0,1,3,1,8,101.46240000000002,,True,True,True,True,True,L00026,Cc1c(ccc2c1[nH]cc2/C=C\3/C(=O)N(C(=O)N3)Cc4ccc(c(c4)F)F)Cl,None,hydantoin; Michael_acceptor_1
466.173,-1.6098,252.98999999999992,11,7,8,2,1,0.5555555555555556,28,5,0,0.21275933044645381,915.846715915825,-0.9900000000000004,23.290513882875256,8.399723659198107,6.810728142739066,0,0,1,1,1,19,89.31060000000002,,False,False,False,False,False,L00027,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(NP(=O)(O)OP(=O)(O)O)O)O,None,phosphor
605.7270000000002,2.2348000000000017,112.24000000000001,7,3,9,5,1,0.7096774193548387,43,6,0,0.3960371614891934,1161.1324402854907,-2.8299999999999996,31.590330992144548,13.437004093047424,7.1220431693753845,0,0,4,1,3,12,155.68809999999976,,True,True,True,False,False,L00028,CCO[C@@H]1C[C@@H]2CN([C@@H](CN2C1)C(=O)N[C@@H]3CCOc4c3cccc4)C(=O)[C@H](C5CCC(CC5)(F)F)NC(=O)[C@H](C)NC,None,None
363.223,-2.569699999999999,206.04000000000002,10,6,4,3,2,0.5,24,4,0,0.31114445649395966,860.5408038851165,-1.8600000000000003,16.97903685282414,5.894711274032771,3.0554348568267984,0,0,1,2,1,14,76.48079999999999,,True,False,False,False,False,L00029,c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N=C(NC2=O)N,None,phosphor
679.5760000000005,7.890800000000007,126.30999999999999,6,3,15,5,5,0.2571428571428571,47,0,0,0.07634831743742743,1869.696299632394,-4.669999999999999,33.68639048858336,15.750579347901546,8.780309137538959,0,0,0,5,0,12,179.10769999999968,,False,False,False,False,False,L00030,c1cc(ccc1Cn2cnc(c2c3c4ccc(cc4[nH]c3C(=O)OCCCCCCNC(=O)CCC(=O)O)Cl)c5ccc(cc5)F)Cl,None,Aliphatic_long_chain
510.6780000000002,1.7925000000000035,65.52000000000001,5,1,6,5,2,0.5862068965517241,37,3,1,0.6421997020063452,1107.9758859627877,-2.3899999999999992,26.22642054933948,10.768974773691655,5.874339305404437,0,0,3,2,2,8,142.29139999999987,,True,True,True,False,True,L00031,C[C@@H]1CN([C@H](C[NH2+]1)CN2CCOC[C@H]2C)CC(=O)N3CC(c4c3cc(cn4)Cc5ccc(cc5)F)(C)C,None,None
