SMILES,RECRUITER_CODE
C[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N2CCC[C@H]2c3nc(cs3)C(=O)c4ccc(cc4)F)NC,L00274
C[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N2CCC[C@H]2c3nc(cs3)c4cccc5c4cccc5)NC,L00143
C[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H]3CCCN3C[C@H]2C(=O)N[C@@H]4CCCc5c4cccc5)NC,L00067
C[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H]3CCCN3C[C@H]2C(=O)N[C@@H]4CCOc5c4cccc5)NC,L00088
C[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H]3C[C@@H]4C[C@@H]4N3C[C@H]2C(=O)N[C@@H]5CCOc6c5cccc6)NC,L00087
C[C@@H](C(=O)N[C@@H]1C(=O)N(c2ccccc2OC13CCOCC3)Cc4c5ccc(cc5ccc4OC)C(=O)O)NC,L00081
C[C@@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]2CCCc3c2cccc3)C(C)(C)C)NC,L00174
C[C@@H](C(=O)N[C@H](C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H]2CCCc3c2cccc3)Oc4ccccc4)C(C)(C)C)NC,L00173
C[C@@H](C(=O)N[C@H]1CN(c2ccccc2N(C1=O)Cc3c4ccccc4ccc3OC)C(=O)c5ccc(cc5)N)NC,L00080
C[C@@H](C(=O)Nc1cccc(n1)N)[NH3+],L00135
C[C@@H](C(=O)O)Oc1ccc(cc1)c2ccccc2,L00489
C[C@@H](c1ccc(cc1)Cl)n2cnc(c2c3c4ccc(cc4[nH]c3C(=O)NCCN5CCN(CC5)C6CCCCC6)Cl)c7ccccc7,L00263
C[C@@H](c1cccc(c1)Cl)N2[C@H](c3c(nc(n3C(C)C)c4cnc(nc4OC)OC)C2=O)c5ccc(cc5)Cl,L00260
C[C@@H](c1cccnc1)NC(=O)C2CC2,L00408
C[C@@H](c1nc(co1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)O)N,L00209
C[C@@H]1CN(CC[NH2+]1)CC(=O)N2CC(c3c2cc(cc3)Cl)(C)C,L00136
C[C@@H]1CN(CC[NH2+]1)CC(=O)N2CCCC2,L00137
C[C@@H]1CN(CC[NH2+]1)CC(=O)N2CCc3c2cc(nc3)Cl,L00139
C[C@@H]1CN(CC[NH2+]1)CC(=O)N2CCc3c2cccc3,L00138
C[C@@H]1CN([C@H](CN1)CN2Cc3ccccc3C2=O)CC(=O)N4CC(c5c4cc(cn5)Cc6ccc(cc6)F)(C)C,L00245
C[C@@H]1CN([C@H](CN1)CN2[C@@H](COC[C@H]2C)C)CC(=O)N3CC(c4c3cc(cn4)[C@H](c5ccc(cc5)F)O)(C)C,L00246
C[C@@H]1CN([C@H](C[NH2+]1)C(=O)N2CCOCC2)CC(=O)N3CC(c4c3cc(cn4)Cc5ccccc5)(C)C,L00166
C[C@@H]1CN([C@H](C[NH2+]1)CN2CCCC2=O)CC(=O)N3CC(c4c3cc(cn4)Cc5ccccc5)(C)C,L00162
C[C@@H]1CN([C@H](C[NH2+]1)CN2CCOC[C@H]2C)CC(=O)N3CC(c4c3cc(c(n4)CO)Cc5ccc(cc5)F)(C)C,L00188
